run_id,target,test_type,status,metric_1,metric_2,source_file
20260310_145213,192.168.50.1,ping,command_failed,,,network-analysis2\20260310_145213\ping_192.168.50.1.txt
20260310_145357,192.168.111.1,ping,command_failed,,,network-analysis2\20260310_145357\ping_192.168.111.1.txt
20260310_153356,192.168.70.142,ping,ok,0.248,0.0,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_154549,192.168.26.143,ping,ok,4.937,0.0,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154558,192.168.26,ping,command_failed,,,network-analysis2\20260310_154558\ping_192.168.26.txt
20260310_154711,192.168.26.148,ping,ok,4.432,0.0,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154958,192.168.61,ping,command_failed,,,network-analysis2\20260310_154958\ping_192.168.61.txt
20260317_135151,"192.168,20.1",ping,command_failed,,,"network-analysis2\20260317_135151\ping_192.168,20.1.txt"
20260317_135201,192.168.20.1,ping,ok,0.243,0.0,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_140433,"192.168,20.1",ping,command_failed,,,"network-analysis2\20260317_140433\ping_192.168,20.1.txt"
20260317_140436,192.168.#20.1,ping,command_failed,,,network-analysis2\20260317_140436\ping_192.168.#20.1.txt
20260317_140442,192.168.20.1,ping,ok,0.24,0.0,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140610,192.168.20.60,ping,ok,0.25,0.0,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_142017,192.168.20.1,ping,ok,5.066,0.0,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142112,192.168.120.1,ping,ok,5.503,0.0,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142234,192.168.120.61,ping,ok,6.18,0.0,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142434,192.168.120.1,ping,ok,0.25,0.0,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142619,192.168.120.61,ping,ok,4.579,0.0,network-analysis2\20260317_142619\ping_192.168.120.61.txt
20260317_150127,192.168.20.1,ping,ok,4.453,0.0,network-analysis2\20260317_150127\ping_192.168.20.1.txt
20260310_145222,192.168.50.1,iperf,command_failed,,,network-analysis2\20260310_145222\iperf_192.168.50.1.txt
20260310_145410,192.168.111.1,iperf,command_failed,,,network-analysis2\20260310_145410\iperf_192.168.111.1.txt
20260310_153521,192.168.70.142,iperf,ok,,0,network-analysis2\20260310_153521\iperf_192.168.70.142.txt
20260310_154624,192.168.26.143,iperf,ok,,0,network-analysis2\20260310_154624\iperf_192.168.26.143.txt
20260310_154741,192.168.26.148,iperf,ok,,0,network-analysis2\20260310_154741\iperf_192.168.26.148.txt
20260310_155009,192.168.61,iperf,command_failed,,,network-analysis2\20260310_155009\iperf_192.168.61.txt
20260310_155020,192.168.143,iperf,command_failed,,,network-analysis2\20260310_155020\iperf_192.168.143.txt
20260317_140506,192.168.20.1,iperf,ok,,0,network-analysis2\20260317_140506\iperf_192.168.20.1.txt
20260317_140627,192.168.20.60,iperf,ok,936.0,0,network-analysis2\20260317_140627\iperf_192.168.20.60.txt
20260317_142032,192.168.20.1,iperf,ok,25.6,0,network-analysis2\20260317_142032\iperf_192.168.20.1.txt
20260317_142142,192.168.120.1,iperf,ok,20.4,0,network-analysis2\20260317_142142\iperf_192.168.120.1.txt
20260317_142200,192.168.120.61,iperf,ok,6.13,41,network-analysis2\20260317_142200\iperf_192.168.120.61.txt
20260317_142507,192.168.120.1,iperf,ok,936.0,0,network-analysis2\20260317_142507\iperf_192.168.120.1.txt
20260317_142552,192.168.120.61,iperf,ok,23.2,0,network-analysis2\20260317_142552\iperf_192.168.120.61.txt
20260317_150201,192.168.20.1,iperf,ok,26.8,0,network-analysis2\20260317_150201\iperf_192.168.20.1.txt
20260317_150232,192.168.20.61,iperf,command_failed,,,network-analysis2\20260317_150232\iperf_192.168.20.61.txt
20260310_145238,8.8.8.8,path,tool_missing,,,network-analysis2\20260310_145238\path_8.8.8.8.txt
